hiragana,katakana,romaji,jph_word,jp_hiragana,jp_romaji,jpk_word,jp_katakana,english
あ,ア,a,愛,あい,,,,
い,イ,i,家,いえ,,,,
う,ウ,u,上,うえ,,,,
え,エ,e,上,うえ,,,,
お,オ,o,青い,あおい,,,,
か,カ,ka,柿,かき,,,,
き,キ,ki,秋,あき,,,,
く,ク,ku,菊,きく,,,,
け,ケ,ke,池,いけ,,,,
こ,コ,ko,恋,こい,,,,
さ,サ,sa,酒,さけ,,,,
し,シ,shi,四季,しき,,,,
す,ス,su,寿司,すし,,,,
せ,セ,se,汗,あせ,,,,
そ,ソ,so,嘘,うそ,,,,
た,タ,ta,歌,うた,,,,
ち,チ,chi,地下鉄,ちかてつ,,,,
つ,ツ,tsu,月,つき,,,,
て,テ,te,手袋,てぶくろ,,,,
と,ト,to,外,そと,,,,
な,ナ,na,夏,なつ,,,,
に,ニ,ni,西,にし,,,,
ぬ,ヌ,nu,犬,いぬ,,,,
ね,ネ,ne,姉,あね,,,,
の,ノ,no,角,つの,,,,
は,ハ,ha,母,はは,,,,
ひ,ヒ,hi,人,ひと,,,,
ふ,フ,fu,服,ふく,,,,
へ,ヘ,he,下手,へた,,,,
ほ,ホ,ho,頬,ほお,,,,
ま,マ,ma,今,いま,,,,
み,ミ,mi,海,うみ,,,,
む,ム,mu,無理,むり,,,,
め,メ,me,雨,あめ,,,,
も,モ,mo,物,もの,,,,
や,ヤ,ya,山,やま,,,,
ゆ,ユ,yu,夢,ゆめ,,,,
よ,ヨ,yo,予約,よやく,,,,
ら,ラ,ra,桜,さくら,,,,
り,リ,ri,曇り,くもり,,,,
る,ル,ru,春,はる,,,,
れ,レ,re,晴れ,はれ,,,,
ろ,ロ,ro,風呂,ふろ,,,,
わ,ワ,wa,私,わたし,,,,
を,ヲ,wo,を,を,,,,
ん,ン,n,日本,にほん,,,,
が,ガ,ga,外国,がいこく,,,,
ぎ,ギ,gi,銀行,ぎんこう,,,,
ぐ,グ,gu,家具,かぐ,,,,
げ,ゲ,ge,元気,げんき,,,,
ご,ゴ,go,ご飯,ごはん,,,,
ざ,ザ,za,座席,ざせき,,,
じ,ジ,ji,富士山,ふじさん,,,,
ず,ズ,zu,地図,ちず,,,,
ぜ,ゼ,ze,前後,ぜんご,,,,
ぞ,ゾ,zo,俗語,ぞくご,,,,
だ,ダ,da,大学,,,,,
ぢ,ヂ,ji,鼻血,,,,,
づ,ヅ,zu,づ,,,,,
で,デ,de,で,で,,,,
ど,ド,do,窓,,,,,
ば,バ,ba,市場,,,,,
び,ビ,bi,山葵,,,,,
ぶ,ブ,bu,豚,,,,,
べ,ベ,be,便利,,,,,
ぼ,ボ,bo,漫画本,,,,,
ぱ,パ,pa,ぱ,,,,,
ぴ,ピ,pi,ぴ,,,,,
ぷ,プ,pu,ぷ,,,,,
ぺ,ペ,pe,ぺ,,,,,
ぽ,ポ,po,ぽ,,,,,
きゃ,キャ,kya,きゃ,きゃ,,キャンセル,,
きゅ,キュ,kyu,きゅっと,きゅっと,,,,
きょ,キョ,kyo,距離,,,,,
しゃ,シャ,sha,写真,,,,,
しゅ,シュ,shu,首位,,,,,
しょ,ショ,sho,処理,,,,,
ちゃ,チャ,cha,お茶,,,,,
ちゅ,チュ,chu,ちゅ,ちゅ,,チュチュ,,
ちょ,チョ,cho,貯金,,,,,
にゃ,ニャ,nya,にゃあ,にゃあ,,,,
にゅ,ニュ,nyu,にゅ,にゅ,,,,
にょ,ニョ,nyo,如意,,,,,
ひゃ,ヒャ,hya,百,,,,,
ひゅ,ヒュ,hyu,ひゅ,ひゅ,,,,
ひょ,ヒョ,hyo,評価,,,,,
みゃ,ミャ,mya,脈,,,,,
みゅ,ミュ,myu,みゅ,みゅ,,ミュージック,,
みょ,ミョ,myo,妙な,みょうな,,,,,
りゃ,リャ,rya,略,,,,,
りゅ,リュ,ryu,竜,,,,,
りょ,リョ,ryo,緑茶,,,,,
ぎゃ,ギャ,gya,ぎゃ,ぎゃ,,,,
ぎゅ,ギュ,gyu,牛肉,,,,,
ぎょ,ギョ,gyo,御衣,,,,,
じゃ,ジャ,ja,じゃ,じゃ,,,,
じゅ,ジュ,ju,樹陰,,,,,
じょ,ジョ,jo,女医,,,,,
びゃ,ビャ,bya,三百,,,,,
びゅ,ビュ,byu,びゅ,びゅ,,,,
びょ,ビョ,byo,秒,,,,,
ぴゃ,ピャ,pya,六百,,,,,
ぴゅ,ピュ,pyu,ぴゅ,ぴゅ,,,,
ぴょ,ピョ,pyo,発表,,,,,
